dateCollected,type,ID,rep,block,depth,BD,MC,coreLength,coreArea,coreVol,VMC,grid,lat,lon
03/10/2012,PA,22,1,1,50,1.29,0.23,40.6,7.092884,28.8,0.23,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,50,1.29,0.23,40.6,7.092884,28.8,0.23,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,50,1.35,0.18,49.8,7.092884,35.32,0.18,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,50,1.35,0.18,49.8,7.092884,35.32,0.18,TL0431352455,52.160523,-0.47647861
18/10/2012,SP,18,1,1,5,1.04,0.35,46.9,7.092884,33.27,0.35,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,5,1.04,0.35,46.9,7.092884,33.27,0.35,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,5,1,0.44,17.1,7.092884,12.13,0.44,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,5,1,0.44,17.1,7.092884,12.13,0.44,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,5,0.8,0.36,39.5,7.092884,28.02,0.36,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,5,0.8,0.36,39.5,7.092884,28.02,0.36,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,15,1.03,0.28,49.9,7.092884,35.39,0.28,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,15,1.03,0.28,49.9,7.092884,35.39,0.28,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,15,1.31,0.26,43.3,7.092884,30.71,0.26,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,15,1.31,0.26,43.3,7.092884,30.71,0.26,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,15,1.13,0.34,51.1,7.092884,36.24,0.34,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,15,1.13,0.34,51.1,7.092884,36.24,0.34,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,30,1.31,0.23,43.2,7.092884,30.64,0.23,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,30,1.31,0.23,43.2,7.092884,30.64,0.23,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,30,1.46,0.22,37,7.092884,26.24,0.22,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,30,1.46,0.22,37,7.092884,26.24,0.22,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,30,1.22,0.22,44.5,7.092884,31.56,0.22,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,30,1.22,0.22,44.5,7.092884,31.56,0.22,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,50,1.51,0.2,48.2,7.092884,34.19,0.2,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,1,1,50,1.51,0.2,48.2,7.092884,34.19,0.2,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,50,1.52,0.21,49.4,7.092884,35.04,0.21,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,2,1,50,1.52,0.21,49.4,7.092884,35.04,0.21,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,50,1.46,0.2,57.4,7.092884,40.71,0.2,TL0432352478,52.160728,-0.47632542
18/10/2012,SP,18,3,1,50,1.46,0.2,57.4,7.092884,40.71,0.2,TL0432352478,52.160728,-0.47632542
23/10/2012,SP,24,1,1,5,0.95,0.43,44.2,7.092884,31.35,0.43,TL0432652402,52.160044,-0.4763049
23/10/2012,SP,24,1,1,5,0.95,0.43,44.2,7.092884,31.35,0.43,TL0432652402,52.160044,-0.4763049
23/10/2012,SP,24,2,1,5,1,0.4,63.4,7.092884,44.97,0.4,TL0432652402,52.160044,-0.4763049
23/10/2012,SP,24,2,1,5,1,0.4,63.4,7.092884,44.97,0.4,TL0432652402,52.160044,-0.4763049
23/10/2012,SP,24,3,1,5,1,0.39,49.9,7.092884,35.39,0.39,TL0432652402,52.160044,-0.4763049
23/10/2012,SP,24,3,1,5,1,0.39,49.9,7.092884,35.39,0.39,TL0432652402,52.160044,-0.4763049
